                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95028,                0.52917,                 1.0953,                 0.9767,                0.96216,                0.97503,                0.69677,                 1.0313,                0.53345,                 1.2191,              0.0017386,              0.0017386,              0.0017386
                     36,                 1.0166,                0.55659,                 1.1097,                0.98658,                0.93514,                0.97284,                0.67111,                 1.1244,                0.57698,                 1.3575,              0.0017307,              0.0017307,              0.0017307
                     37,                  1.005,                0.54293,                 1.1304,                0.98127,                0.95135,                0.97429,                 0.7114,                 1.0051,                0.53791,                 1.2359,              0.0017228,              0.0017228,              0.0017228
                     38,                0.95976,                0.50573,                 1.0878,                 0.9791,                0.94595,                0.98178,                0.73271,                0.99813,                0.54289,                 1.2182,              0.0017149,              0.0017149,              0.0017149
                     39,                0.95029,                0.52322,                 1.0882,                 0.9786,                0.95676,                0.98345,                0.70999,                0.98509,                0.55943,                 1.2626,               0.001707,               0.001707,               0.001707
                     40,                0.93966,                0.49737,                 1.0922,                0.97763,                 0.9451,                0.97359,                0.72865,                0.97166,                 0.5567,                 1.1869,               0.001699,               0.001699,               0.001699
                     41,                0.97862,                0.54969,                 1.1089,                0.98342,                0.96179,                0.97554,                0.71673,                0.97637,                0.50497,                 1.2078,              0.0016911,              0.0016911,              0.0016911
                     42,                0.93513,                0.50375,                  1.083,                0.97763,                0.94476,                0.97418,                0.72959,                0.97867,                0.51174,                 1.2294,              0.0016832,              0.0016832,              0.0016832
                     43,                0.92548,                0.49928,                 1.0589,                 0.9935,                0.94054,                0.97722,                0.74688,                 0.9663,                0.52582,                 1.2028,              0.0016753,              0.0016753,              0.0016753
                     44,                0.94775,                0.52813,                 1.0784,                0.99217,                0.94054,                0.97219,                0.71707,                0.99501,                0.55376,                 1.2248,              0.0016674,              0.0016674,              0.0016674
                     45,                0.91706,                 0.5254,                 1.0802,                0.98374,                0.94595,                0.97543,                0.72475,                 1.0124,                 0.5454,                 1.2214,              0.0016594,              0.0016594,              0.0016594
                     46,                0.94498,                0.52522,                 1.0692,                0.98231,                0.95676,                0.97526,                0.71346,                 1.0147,                 0.5188,                 1.2358,              0.0016515,              0.0016515,              0.0016515
                     47,                0.91684,                0.47034,                  1.069,                0.98247,                0.95135,                0.97443,                0.70903,                 1.0097,                0.51831,                 1.2212,              0.0016436,              0.0016436,              0.0016436
                     48,                0.91408,                0.50597,                 1.0873,                0.98305,                0.94036,                0.97515,                0.72777,                0.98168,                0.54573,                  1.219,              0.0016357,              0.0016357,              0.0016357
                     49,                0.92054,                 0.4904,                 1.0733,                0.99435,                0.95057,                0.97857,                0.71837,                  1.026,                0.54418,                 1.2537,              0.0016278,              0.0016278,              0.0016278
                     50,                  0.933,                0.51307,                 1.0859,                0.98332,                0.95593,                0.97573,                0.71422,                 1.0147,                0.55644,                 1.2308,              0.0016198,              0.0016198,              0.0016198
                     51,                0.95604,                 0.5126,                 1.0838,                0.97766,                0.95135,                0.97581,                 0.7179,                0.97949,                0.50531,                 1.2111,              0.0016119,              0.0016119,              0.0016119
                     52,                0.94546,                0.51174,                 1.0731,                0.97779,                0.95185,                0.97942,                0.72193,                0.98296,                 0.5151,                 1.2237,               0.001604,               0.001604,               0.001604
                     53,                0.92519,                0.49325,                 1.0697,                 0.9793,                0.95676,                0.97531,                0.72323,                0.97832,                0.51563,                 1.2351,              0.0015961,              0.0015961,              0.0015961
                     54,                0.89839,                0.46996,                 1.0545,                0.99114,                0.96216,                0.97559,                0.73086,                0.98381,                0.49822,                 1.2412,              0.0015882,              0.0015882,              0.0015882
